id,gasmetallicity,gasmetallicityhalfrad,mass,halfmassrad,mass_gas,halfmassrad_gas,mass_dm,halfmassrad_dm,mass_stars,halfmassrad_stars,sfr,sfrinhalfrad,spin_x,spin_y,spin_z,starrmetallicity,starmetallicityhalfrad
412057,0.0227583,0.0285708,89.6376,53.3124,6.0963,34.3392,79.2392,60.0645,4.30017,11.5181,2.78336,1.60019,341.257,-1291.74,-214.47,0.0192821,0.0194126
404559,0.0411165,0.0575726,116.223,71.1762,0.951048,10.2148,110.967,74.8589,4.29999,5.8598,1.07795,0.639889,669.396,-323.229,-1552.82,0.0220564,0.0243504
419510,0.028905,0.039044,64.9555,47.6574,5.2325,20.5162,55.4229,58.9721,4.29903,7.8571,6.27946,2.69357,272.051,684.904,-484.067,0.0228443,0.0254791
310497,0,0,46.1118,28.146,0,0,41.8133,32.0345,4.29335,3.4455,0,0,-541.3,-133.333,-256.379,0.0320656,0.0377763
66086,0.0331143,0.0456224,85.5164,58.1163,4.02563,14.3667,77.1966,66.1997,4.29286,6.0656,10.1302,8.23573,93.9267,-528.339,267.27,0.0264714,0.0291
425841,0.027765,0.0369038,65.8258,41.8309,5.97133,26.1216,55.5622,49.9816,4.29179,8.7924,4.84125,0.319576,1773.56,-354.768,-414.474,0.0227983,0.0231735
240030,0.0272952,0.028643,44.7235,22.413,0.012166,1.6402,40.4086,24.4994,4.28863,3.5182,0.010726,0.010726,79.1724,427.059,-307.308,0.023521,0.0270154
73670,0.0292804,0.036781,82.8695,47.6734,5.54875,21.0882,73.0319,54.3518,4.28756,7.4658,9.21614,5.06721,-814.886,-2287.02,774.718,0.0219277,0.0237708
385453,0.0343141,0.0476763,159.413,91.4626,1.45512,20.5328,153.664,94.8447,4.28743,5.7949,1.49325,0.99728,-1648.6,-757.726,-610.361,0.0239933,0.0275716
309725,0.0394093,0.0458604,68.9826,41.8678,1.02604,8.1666,63.6707,45.1263,4.28092,5.8738,2.10491,1.83246,-21.5774,-137.988,-55.3464,0.023595,0.0271099
406902,0.0317929,0.0429545,92.3946,67.8482,2.97544,23.6331,85.1367,76.7904,4.27935,9.1392,2.03546,1.62592,820.816,278.013,-413.943,0.0195921,0.0219929
388380,0.0232375,0.035796,109.611,67.324,7.68985,25.7749,97.6401,76.0776,4.27858,10.4506,7.27462,1.3538,1269.73,813.919,602.53,0.0185669,0.0198892
363448,0.0217137,0.0279166,109.624,66.143,7.96532,30.1538,97.3795,74.7386,4.27816,10.0953,7.77072,2.31216,-1023.11,250.762,-1395.53,0.0204024,0.0203078
409154,0.0332456,0.0519755,100.002,59.5303,4.69555,17.2544,91.0248,65.9766,4.27766,7.1677,7.82612,1.61958,-343.47,-45.1227,-433.481,0.0243702,0.0258058
365003,0.0232633,0.0423231,168.38,93.9141,8.77319,38.6635,155.338,99.8479,4.26653,10.8464,4.25647,0.464826,65.5154,645.972,1762.18,0.0179822,0.0189179
415951,0.0459443,0.0821924,95.3661,61.2443,1.79106,10.1197,89.3058,68.1642,4.26602,4.6734,4.15393,0.441123,633.794,207.509,371.274,0.0286717,0.0294227
421531,0.0278977,0.0353707,73.5646,46.4268,4.92481,20.9315,64.3731,54.4369,4.26529,7.5744,7.07406,5.30655,-131.982,-684.895,-374.948,0.0246158,0.0259842
248849,0.0373009,0.0437122,52.3544,33.8313,1.08115,33.8901,47.0062,36.7707,4.2614,5.0321,1.15127,1.14425,6.35367,3.4871,126.293,0.0282616,0.0331122
404719,0.0285377,0.040182,103.278,61.9327,4.59798,14.256,94.4171,69.7889,4.26074,6.4484,10.0537,3.48419,537.981,-160.094,-470.464,0.0231449,0.0245916
407823,0.0331977,0.0397758,108.991,66.2082,2.98468,9.334,101.746,71.7527,4.25779,5.4252,11.3575,4.45377,19.8491,591.985,388.354,0.0243677,0.026045
408650,0.0387821,0.0464637,112.021,73.4199,0.4763,8.8507,107.281,76.9508,4.25768,6.2571,0.328603,0.247111,-0.316614,-1238.43,1354.29,0.021857,0.0245958
409053,0.027853,0.0368565,99.919,58.6392,4.77681,17.1335,90.8868,65.4912,4.2526,8.8553,7.62591,1.74423,608.057,946.697,57.2782,0.0212066,0.0223779
73683,0.0494501,0.0586026,33.2034,20.8995,0.445322,6.0353,28.5031,24.6214,4.25179,4.4198,1.11764,1.08306,-106.141,55.2774,85.2426,0.0277223,0.0327556
393080,0.0364451,0.0457156,115.832,73.6244,1.82,12.5461,109.764,77.8994,4.24435,5.9152,3.13933,2.36246,1106.64,-978.413,-1696.16,0.0254978,0.0291768
435070,0.0302425,0.0362266,54.7937,34.594,4.92715,15.571,45.6257,45.012,4.24038,5.9655,12.3383,7.75201,712.129,386.257,367.419,0.0258639,0.0269941
314358,0.0402049,0.0533921,283.366,101.311,2.35147,77.2687,276.768,103.263,4.23983,5.8642,0.893847,0.435307,-357.564,-463.355,-1843.64,0.0219831,0.024072
419848,0.0406822,0.0494525,91.8925,55.6559,1.50646,13.2603,86.1507,60.7167,4.23166,7.1013,2.77557,2.6861,324.421,-191.914,13.6474,0.0257248,0.0303531
394102,0.0214754,0.0307334,113.844,64.2729,7.38874,25.1226,102.224,71.9483,4.22913,11.8975,7.37667,3.6733,2786.49,-2074.49,92.3479,0.0176121,0.018799
387173,0.0212462,0.0301159,143.727,94.2869,5.3772,26.4703,134.119,102.813,4.22767,10.5553,4.98058,3.40194,3859.87,-456.12,921.15,0.0187502,0.0212415
